id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,ingresso,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,sinopse,data_sessao,datainicial,datafinal,tem,dispositivo,dias,online
75000008026275,100,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Cuidado com Nós,,uma,thisW,agora,seg,0,11h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-19 00:00:00,,,0,0
75000008026275,100,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Cuidado com Nós,,uma,thisW,agora,seg,0,12h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-19 00:00:00,,,0,0
75000008026275,100,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Cuidado com Nós,,uma,thisW,agora,seg,0,13h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-19 00:00:00,,,0,0
75000008056105,100,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Histórias de Gestos,,uma,thisW,agora,seg,0,11h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-19 00:00:00,1,Audiodescrição  Tradução em Libras  Closed Caption,0,0
75000008056105,100,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Histórias de Gestos,,uma,thisW,agora,seg,0,15h30,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-19 00:00:00,1,Audiodescrição  Tradução em Libras  Closed Caption,0,0
75000008118468,10,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,Guias de Turismo - Bienal Sesc de Dança,,uma,thisW,agora,seg,0,07h30,undefined,"Contratação de guias de turismo para apoio nos Transportes, durante o período de 14 a 24/09.",2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-24 00:00:00,,,0,0
89000001350816,20,2,cursos e oficinas,1,Música,89,CPF,capital,0,0,outros,Cursos e Palestras,Nova harmonia do violão brasileiro: Os acordes pós-Bossa Nova e Jazz mainstream,Com Conrado Paulino,primeira,thisW,agora,seg,0,14h30,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-25 00:00:00,,,0,0
67000002812175,17,2,cursos e oficinas,1,Música,67,São Caetano,capital,0,0,idosos,,Introdução à rabeca,Com FELIPE GOMIDE,primeira,thisW,agora,seg,0,14h,undefined,"Os participantes terão contato com os elementos culturais e históricos que deram origem aos instrumentos de arco e à rabeca brasileira, além de elementos práticos que remetem ao estudo da teoria musical e exercícios para a prática da rabeca em conjunto.",2023-09-18 00:00:00,2023-09-18 00:00:00,2023-10-16 00:00:00,,,0,0
75000008203009,100,2,cursos e oficinas,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Produção executiva de atividades formativas,Rafael Ferro,de-ate,sempre,agora,sempre,7,14h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-24 00:00:00,,,0,0
75000008076438,60,2,cursos e oficinas,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Residência: Ka'adela,,uma,sempre,agora,sempre,7,14h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-19 00:00:00,,,0,0
75000008076292,60,2,cursos e oficinas,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Residência: Marcelo Evelin,,uma,sempre,agora,sempre,7,14h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-22 00:00:00,,,0,0
61000000852566,15,2,cursos e oficinas,6,Artes Visuais,61,Florêncio,capital,0,0,outros,,Joalheria Afro-diasporica,"Com Cynthia Maria, estilista e pesquisadora.",primeira,thisW,agora,seg,0,17h,undefined,"A oficina aproxima o participante do universo do design de joias autorais, a partir de perspectiva afrocêntrica, desenvolvendo habilidades e  resgatando fazeres manuais, bem como estimulando consumo consciente. As aulas possibilitam o manuseio de materiais e ferramentas diversas do mundo da ourivesaria ,da biojoalheria e da joalheria autoral, para fins de empreendedorismo ou criação artística.",2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-18 00:00:00,,,0,0
95000002802042,10,2,cursos e oficinas,6,Artes Visuais,95,Osasco,capital,0,0,outros,,Iniciação à Escultura com Cerâmica Fria:  Produção de Cabeças,com Fabiano A.,primeira,thisW,agora,seg,0,15h,undefined,"A partir de instruções técnicas sobre o uso da massa e reflexões sobre poética, será proposta a modelagem de pequenas esculturas com foco em cabeças (máscaras), sejam figuras humanas ou não. Serão apresentados, especificamente, exercícios de modelagem focados em olhos, narizes e bocas para que os participantes somem as suas criações e repertório. Não será feita a pintura das peças.",2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-25 00:00:00,,,0,0
83000003900899,20,2,cursos e oficinas,6,Artes Visuais,83,Piracicaba,interior,0,0,outros,Livros de arte contemporânea na sala de aula,Futebol: a arte dos pés à cabeça,Com Renata Sant'Anna,uma,sempre,agora,sempre,7,14h,undefined,SC 1654-06/2023 gerada antes da mudança do sistema. Ver se duplicou.,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-19 00:00:00,,,0,0
64000004728042,20,2,cursos e oficinas,8,Educação,64,Carmo,capital,0,0,outros,,Português como língua estrangeira - PLE,Segunda 09h30  Terca 09h30  Quarta 09h30  Quinta 09h30 - A partir de 16 anos,primeira,thisW,agora,seg,0,09h30,undefined,Curso de Português para pessoas em situação de refúgio e migração.,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-11-09 00:00:00,,,0,0
89000001265966,40,2,cursos e oficinas,8,Educação,89,CPF,capital,0,0,outros,,Memória e imaginário: O cinema de Petra Costa,Com Prof. Dr.Carlos Gonçalves (PUCSP e ECA-USP),primeira,thisW,agora,seg,0,15h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-25 00:00:00,,,0,0
95000002765460,20,2,cursos e oficinas,8,Educação,95,Osasco,capital,0,0,outros,,Curso de Português como Língua Estrangeira,Senac,primeira,thisW,agora,seg,0,08h,undefined,"Curso de Português como Língua Estrangeira - PLE.  Parceria entre SESC Osasco, SENAC OSASCO e Secretaria do Trabalho Emprego e Renda (SETRE) de Osasco.",2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-18 00:00:00,,,0,0
89000001300792,80,3,debates e paletras,1,Música,89,CPF,capital,0,0,outros,Autografias,Autografias: O choro reinventa a roda. 150 anos de uma utopia musical,"Com Henrique Cazes, fotografias de Marília de Figueiredo",uma,thisW,agora,seg,0,19h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-18 00:00:00,,,0,0
71000004440012,35,3,debates e paletras,14,Outros,71,Bertioga,interior,0,0,idosos, Festival da Integração,Camarim coletivo,,uma,thisW,agora,seg,0,07h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-24 00:00:00,,,0,0
71000004439936,15,3,debates e paletras,14,Outros,71,Bertioga,interior,0,0,idosos, Festival da Integração,Secretaria Festival da Integração,,uma,thisW,agora,seg,0,07h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-24 00:00:00,,,0,0
75000008083031,100,3,debates e paletras,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Lançamento Cartas para Danças Como jogar com a história?,,uma,thisW,agora,seg,0,14h,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-18 00:00:00,,,0,0
75000008061377,100,3,debates e paletras,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Lançamento: Histórias de Gestos,,uma,thisW,agora,seg,0,16h30,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-18 00:00:00,,,0,0
89000001337857,30,3,debates e paletras,6,Artes Visuais,89,CPF,capital,0,0,outros,Cursos e Palestras,O Uso de Drones na Fotografia,Com Paulo Rapoport,uma,thisW,agora,seg,0,19h30,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-18 00:00:00,,,0,0
64000004868812,30,3,debates e paletras,7,Literatura,64,Carmo,capital,1,0,outros,Clube de Leitura,"Clube de Leitura: O conto da aia , Margaret Atwood",Mediação: Ana Rüsche,uma,thisW,agora,seg,0,18h,undefined,"Encontro para a troca de impressões entre os leitores com a mediação de Ana Rüsche. O conto de aia é Uma das distopias clássicas feministas, o livro de Margaret Atwood apresenta um mundo no qual mulheres são reduzidas aos papéis sociais determinados por seus corpos. Uma narrativa para discutir a ascensão conservadora contemporânea e regimes autoritários.",2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-18 00:00:00,,,0,0
89000001300882,70,3,debates e paletras,7,Literatura,89,CPF,capital,0,0,outros,Autografias,"História do livro e da edição: produção & circulação, formas & mutações","com Yann Sordet, historiador do livro e curador geral das bibliotecas na França. Mediação de Marisa Midori Deaecto.",uma,thisW,agora,seg,0,19h30,undefined,s/i,2023-09-18 00:00:00,2023-09-18 00:00:00,2023-09-18 00:00:00,,,0,0
67000002687258,550,4,exposições,6,Artes Visuais,67,São Caetano,capital,0,0,outros,Na Palma da Mão: exposição ateliê,Na Palma da Mão: exposição ateliê,,de-ate,sempre,agora,sempre,7,08h,undefined,"Na Palma da Mão: exposição ateliê foi concebida tendo a criança como público principal. A proposta parte da concepção de que a criança participa ativamente das ofertas culturais, como público que experimenta processos artísticos, traz seus conhecimentos no encontro com a arte e é atravessada por essas experiências.",2023-09-18 00:00:00,2023-09-18 00:00:00,2023-11-25 00:00:00,,,0,0
