id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,ingresso,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,data_sessao,datainicial,datafinal,tem,dispositivo,online,data.periodo
66000017388719,120,1,shows e espetáculos,1,Música,66,Vila Mariana,capital,0,0,outros,Palco Novidade,Felipe S,"Lançamento do show ""De Iracema a Itacaré""",uma,thisW,agora,qui,3,20h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
72000000591530,350,1,shows e espetáculos,1,Música,72,Mogi Das Cruzes,capital,0,0,outros,,Graça Braga canta Martinho da Vila,,uma,thisW,agora,qui,3,20h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
76000004314322,1000,1,shows e espetáculos,1,Música,76,Ribeirão Preto,interior,0,0,outros,,Ellen Oléria canta Beyoncé,show Ellen Oléria canta Beyoncé,uma,thisW,agora,qui,3,20h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
84000005348769,200,1,shows e espetáculos,1,Música,84,Rio Preto,interior,0,0,outros,,Duo Aduar,Viola Caipira,uma,thisW,agora,qui,3,21h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
86000004115437,2600,1,shows e espetáculos,1,Música,86,Araraquara,interior,0,0,outros,,Gilsons,Com os Gilsons,uma,thisW,agora,qui,3,21h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
88000005141818,300,1,shows e espetáculos,1,Música,88,Santo André,capital,1,0,outros,,Mayombe Afro Latino,,uma,thisW,agora,qui,3,20h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
95000002746110,450,1,shows e espetáculos,1,Música,95,Osasco,capital,0,0,outros,,Banda Mantiqueira,Convida Fabiana Cozza,uma,thisW,agora,qui,3,20h30,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
86000004062861,600,1,shows e espetáculos,11,Atividade Física,86,Araraquara,interior,0,0,crianças,Semana Move,Circuito Sesc de Futebol,"Com a ex-jogadora Mônica de Paula, Lara Schuler do Futebol Freestyle e Rogerinho do Futebol de Amputados",uma,thisW,agora,qui,3,09h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,manhã
86000004063002,600,1,shows e espetáculos,11,Atividade Física,86,Araraquara,interior,0,0,crianças,Semana Move,Circuito Sesc de Futebol,"Com a ex-jogadora Mônica de Paula, Lara Schuler do Futebol Freestyle e Rogerinho do Futebol de Amputados",uma,thisW,agora,qui,3,14h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,tarde
58000006707553,98,1,shows e espetáculos,2,Teatro,58,Pinheiros,capital,0,0,outros,,"E VOCÊS, QUEM SÃO?",Samuel de Assis,uma,thisW,agora,qui,3,20h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-10-28 00:00:00,,,0,noite
63000013035250,40,1,shows e espetáculos,2,Teatro,63,Pompeia,capital,0,0,outros,,Nica,Com Elisa Band e Gilda Nomacce,uma,thisW,agora,qui,3,20h30,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-10-06 00:00:00,1,Audiodescrição  Tradução em Libras,0,noite
70000005647607,30,1,shows e espetáculos,2,Teatro,70,Santo Amaro,capital,1,0,outros,,LOVNI com  a Compagnie de la Casquette - Bélgica,XVII Festival Internacional Paideia de Teatro para a Infância e Juventude: Uma janela para a utopia,uma,thisW,agora,qui,3,10h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,manhã
70000005647607,30,1,shows e espetáculos,2,Teatro,70,Santo Amaro,capital,1,0,outros,,LOVNI com  a Compagnie de la Casquette - Bélgica,XVII Festival Internacional Paideia de Teatro para a Infância e Juventude: Uma janela para a utopia,uma,thisW,agora,qui,3,14h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,tarde
70000005647607,30,1,shows e espetáculos,2,Teatro,70,Santo Amaro,capital,1,0,outros,,LOVNI com  a Compagnie de la Casquette - Bélgica,XVII Festival Internacional Paideia de Teatro para a Infância e Juventude: Uma janela para a utopia,uma,thisW,agora,qui,3,16h30,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,tarde
83000003928405,150,1,shows e espetáculos,2,Teatro,83,Piracicaba,interior,0,1,outros,Em.Cena.Ação,Mãos Trêmulas,Com Cleide Queiroz e Plínio Soares,uma,thisW,agora,qui,3,20h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
79000003067238,100,1,shows e espetáculos,3,Circo,79,Catanduva,interior,1,0,outros,Corpos: A Grandeza de Ser,Insolação,Com Gabriella Argento,uma,thisW,agora,qui,3,20h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
85000003182916,217,1,shows e espetáculos,3,Circo,85,Birigui,interior,0,0,outros,,Vírgula iLTDA,Com Palhaça Vírgula,uma,thisW,agora,qui,3,20h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
58000006656012,700,1,shows e espetáculos,4,Dança,58,Pinheiros,capital,0,0,outros,,O Sacrifício (The Sacrifice),Coreografia Dada Masilo (África do Sul),uma,thisW,agora,qui,3,21h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
71000004403170,30,1,shows e espetáculos,4,Dança,71,Bertioga,interior,0,0,outros, Festival da Integração,Ensaio para os próximos passos,Com Cia o povo em pé,uma,thisW,agora,qui,3,14h30,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-23 00:00:00,,,0,tarde
75000008076253,100,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Barricada,Com Marcelo Evelin,uma,thisW,agora,qui,3,19h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-22 00:00:00,,,0,noite
75000008026163,100,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Cacunda,Com Adnã Ionara,uma,thisW,agora,qui,3,19h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-22 00:00:00,,,0,noite
75000008055713,100,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Eu não sou só eu em mim,Com Cena 11,uma,thisW,agora,qui,3,21h30,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
75000008076419,100,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Ka'adela,Com Idylla Silmarovi e Juão NYN,uma,thisW,agora,qui,3,16h30,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,tarde
75000008076341,100,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Lança Cabocla,,uma,thisW,agora,qui,3,18h30,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
75000008076323,80,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Schönheit ist Nebensache - A beleza revela-se acessória,Com Pol Pi (Brasil/França),uma,thisW,agora,qui,3,17h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-22 00:00:00,1,Audiodescrição,0,tarde
75000008076174,400,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] Soomo,Com Bora Kim (Coreia do Sul),uma,thisW,agora,qui,3,20h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
75000008032389,100,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,[BIENAL SESC DE DANÇA] SustentAção - Perfomance Duracional em Dança,Com Núcleo Fuga,uma,thisW,agora,qui,3,11h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-22 00:00:00,,,0,manhã
75000008118468,10,1,shows e espetáculos,4,Dança,75,Campinas,interior,0,0,outros,BIENAL SESC DE DANÇA - 2023,Guias de Turismo - Bienal Sesc de Dança,,uma,thisW,agora,qui,3,07h30,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-24 00:00:00,,,0,manhã
78000006657160,100,1,shows e espetáculos,4,Dança,78,Santos,interior,0,0,outros,,32 de Dezembro,com Cora Laszlo,uma,thisW,agora,qui,3,20h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,noite
83000004059251,300,1,shows e espetáculos,6,Artes Visuais,83,Piracicaba,interior,1,0,outros,,Humor em Trânsito,,uma,thisW,agora,qui,3,14h,undefined,2023-09-21 00:00:00,2023-09-21 00:00:00,2023-09-21 00:00:00,,,0,tarde
