id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,ingresso,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,data_sessao,datainicial,datafinal,tem,dispositivo,online,turno
52000004978337,440,7,serviços,15,Piscina,52,24 De Maio,capital,1,0,outros,,Piscina,,de-ate,thisW,agora,sempre,7,10h,undefined,2023-10-01 00:00:00,2023-09-26 00:00:00,2023-11-30 00:00:00,,,0,consulte
55000004351698,4000,7,serviços,15,Piscina,55,Interlagos,capital,0,0,outros,,Piscina,Segunda 09h  Terca 09h  Quarta 09h  Quinta 09h  Sexta 09h  Sabado 09h  Domingo 09h - Livre,de-ate,thisW,agora,sempre,7,09h,undefined,2023-09-27 00:00:00,2023-09-27 00:00:00,2023-12-29 00:00:00,,,0,consulte
56000004685637,500,7,serviços,15,Piscina,56,Itaquera,capital,0,0,outros,,Piscina,Segunda 09h  Terca 09h  Quarta 09h  Quinta 09h  Sexta 09h  Sabado 09h  Domingo 09h - Livre,de-ate,thisW,agora,sempre,7,09h,undefined,2023-09-27 00:00:00,2023-09-27 00:00:00,2023-12-30 00:00:00,,,0,consulte
62000006816538,100,7,serviços,15,Piscina,62,Consolação,capital,1,0,outros,,Piscina,,de-ate,thisW,agora,sempre,7,07h10,undefined,2023-09-26 00:00:00,2023-09-26 00:00:00,2023-12-30 00:00:00,,,0,consulte
63000012545748,200,7,serviços,15,Piscina,63,Pompeia,capital,1,0,outros,,Piscina,,de-ate,nextW,proxima,sempre,7,10h,undefined,2023-10-05 00:00:00,2023-09-26 00:00:00,2023-12-29 00:00:00,,,0,consulte
68000008738310,400,7,serviços,15,Piscina,68,Belenzinho,capital,1,0,outros,Semana Move,Piscina,Com educadores do Sesc,de-ate,thisW,agora,sempre,7,09h,undefined,2023-09-26 00:00:00,2023-09-26 00:00:00,2023-09-29 00:00:00,,,0,consulte
70000005348524,30,7,serviços,15,Piscina,70,Santo Amaro,capital,0,0,outros,,Piscina,Terca 10h  Quarta 10h  Quinta 10h  Sexta 10h - Livre,de-ate,nextW,proxima,sempre,7,10h,undefined,2023-10-03 00:00:00,2023-09-26 00:00:00,2023-12-29 00:00:00,,,0,consulte
71000004403354,2000,7,serviços,15,Piscina,71,Bertioga,interior,0,0,outros,,Piscina,,de-ate,thisW,agora,sempre,7,09h30,undefined,2023-09-26 00:00:00,2023-09-26 00:00:00,2023-12-31 00:00:00,,,0,consulte
72000000622217,40,7,serviços,15,Piscina,72,Mogi Das Cruzes,capital,0,0,outros,,Piscina,,de-ate,thisW,agora,sempre,7,13h30,undefined,2023-09-26 00:00:00,2023-09-26 00:00:00,2023-12-29 00:00:00,,,0,consulte
73000004167372,755,7,serviços,15,Piscina,73,Guarulhos,capital,0,0,outros,,Piscina,,de-ate,thisM,depois,sempre,7,09h,undefined,2023-10-14 00:00:00,2023-09-26 00:00:00,2023-12-29 00:00:00,,,0,consulte
