id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,foto,data_sessao,datainicial,datafinal,sinopse,ingressos,tem,dispositivo,ingresso,online,turno
49000000002117,80,2,cursos e oficinas,1,Música,49,14 Bis,capital,1,crianças,,Percussão de Bateria,Com Projeto Sociocultural Bateria 013,uma,nextW,proxima,sáb,5,17h30,undefined,undefined,2023-10-14 00:00:00,2023-10-14 00:00:00,2023-10-28 00:00:00,"Aulas práticas de percussão de bateria abordam peças que compõem os instrumentos, posturas, técnicas aplicadas, ritmos e viradas, voltadas tanto para quem nunca teve contato com a prática de ritmista, quanto para quem já toca e deseja aperfeiçoar sua técnica.",grátis,,,0,0,tarde
49000000002542,30,2,cursos e oficinas,9,Meio Ambiente,49,14 Bis,capital,0,crianças,,Roda cantada e balaio de chocalhos,Com Cia Alcina da Palavra,uma,nextW,proxima,dom,6,10h15,undefined,undefined,2023-10-15 00:00:00,2023-10-14 00:00:00,2023-10-29 00:00:00,"Em uma roda onde os sons entram para brincar, o caxixi - tipo de chocalho de origem africana - convida para uma livre experiência  de arte-educação com a música, no espaço ambientado com elementos naturais.",outros,,,0,0,manhã
49000000002542,30,2,cursos e oficinas,9,Meio Ambiente,49,14 Bis,capital,0,crianças,,Roda cantada e balaio de chocalhos,Com Cia Alcina da Palavra,uma,nextW,proxima,sáb,5,10h15,undefined,undefined,2023-10-14 00:00:00,2023-10-14 00:00:00,2023-10-29 00:00:00,"Em uma roda onde os sons entram para brincar, o caxixi - tipo de chocalho de origem africana - convida para uma livre experiência  de arte-educação com a música, no espaço ambientado com elementos naturais.",outros,,,0,0,manhã
49000000002586,50,9,'+ lazer,14,'+ lazer,49,14 Bis,capital,0,outros,,Recreação esportes urbanos  Danças urbanas,Com educadores de atividades físico esportivas do Sesc,uma,nextW,proxima,dom,6,13h,undefined,undefined,2023-10-15 00:00:00,2023-10-15 00:00:00,2023-10-29 00:00:00,s/i,(Em branco),,,0,0,tarde
49000000002795,4000,4,exposições,6,Artes Visuais,49,14 Bis,capital,1,outros,Constelação Celestina,Constelação Celestina,Fotógrafo: Wagner Celestino. Curadoria: Claudinei Roberto da Silva.,de-ate,sempre,agora,sempre,7,10h30,dcelestina,dcelestina,2023-10-07 00:00:00,2023-10-06 00:00:00,2024-04-07 00:00:00,"A exposição apresenta fotografias de Wagner Celestino, fotógrafo negro e periférico nascido em 1952 na zona Leste paulistana. Seus registros revelam trabalhadores, artistas e ritos culturais e religiosos que enaltecem a beleza e a memória da população afrodescendente. São registros em preto e branco de alto contraste, com abordagem entre o projeto artístico e o documentário histórico.",grátis,,,0,0,manhã
49000000002795,4000,4,exposições,6,Artes Visuais,49,14 Bis,capital,1,outros,Constelação Celestina,Constelação Celestina,Fotógrafo: Wagner Celestino. Curadoria: Claudinei Roberto da Silva.,de-ate,sempre,proxima,sempre,7,10h30,dcelestina,dcelestina,2023-10-10 00:00:00,2023-10-06 00:00:00,2024-04-07 00:00:00,"A exposição apresenta fotografias de Wagner Celestino, fotógrafo negro e periférico nascido em 1952 na zona Leste paulistana. Seus registros revelam trabalhadores, artistas e ritos culturais e religiosos que enaltecem a beleza e a memória da população afrodescendente. São registros em preto e branco de alto contraste, com abordagem entre o projeto artístico e o documentário histórico.",grátis,,,0,0,manhã
49000000005746,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,outros,,Negra Opera - Martinho da Vila,,uma,thisW,agora,dom,6,18h,dmartinho,dmartinho,2023-10-08 00:00:00,2023-10-06 00:00:00,2023-10-08 00:00:00,"""Negra Ópera - Concerto, é uma peça musical popular acústica, com violão, cavaquinho, baixolão e percussão leve. Como uma ópera, a abertura é instrumental e divide-se em três atos. O concerto, baseado no livro Ópera Negra, de autoria de Martinho é inspirado na ópera Pelléas et Mélisande, de Debussy, que o cantor assistiu no Teatro Ópera de Paris.""",a_venda,,,0,0,noite
49000000005746,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,outros,,Negra Opera - Martinho da Vila,,uma,thisW,agora,sáb,5,19h30,dmartinho,dmartinho,2023-10-07 00:00:00,2023-10-06 00:00:00,2023-10-08 00:00:00,"""Negra Ópera - Concerto, é uma peça musical popular acústica, com violão, cavaquinho, baixolão e percussão leve. Como uma ópera, a abertura é instrumental e divide-se em três atos. O concerto, baseado no livro Ópera Negra, de autoria de Martinho é inspirado na ópera Pelléas et Mélisande, de Debussy, que o cantor assistiu no Teatro Ópera de Paris.""",a_venda,,,0,0,noite
49000000005746,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,outros,,Negra Opera - Martinho da Vila,,uma,thisW,agora,sex,4,19h30,dmartinho,dmartinho,2023-10-06 00:00:00,2023-10-06 00:00:00,2023-10-08 00:00:00,"""Negra Ópera - Concerto, é uma peça musical popular acústica, com violão, cavaquinho, baixolão e percussão leve. Como uma ópera, a abertura é instrumental e divide-se em três atos. O concerto, baseado no livro Ópera Negra, de autoria de Martinho é inspirado na ópera Pelléas et Mélisande, de Debussy, que o cantor assistiu no Teatro Ópera de Paris.""",a_venda,,,0,0,noite
49000000005762,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,1,outros,,Orquestra Mundana Refugi,,uma,nextW,proxima,qua,2,20h30,undefined,undefined,2023-10-11 00:00:00,2023-10-11 00:00:00,2023-10-12 00:00:00,"Formada por vinte e dois músicos imigrantes, refugiados e brasileiros de dez nacionalidades, sob a direção musical de Carlinhos Antunes, apresenta um repertório repleto de diversidade musical que reflete as culturas de seus integrantes. Os instrumentos vão do kanun ao acordeom, passando pelo piano, Kemanche, cítara chinesa, bouzouki, alaúde, ronroco, derbak, djembe, doudouk e tantos outros.",grátis,,,0,0,noite
