id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,foto,data_sessao,datainicial,datafinal,sinopse,ingressos,tem,dispositivo,ingresso,online,turno
63000013644489,800,1,shows e espetáculos,1,Música,63,Pompeia,capital,0,outros,Sesc Jazz,Makaya McCraven (França),,uma,thisW,agora,qua,2,21h30,dsescjazz,dsescjazz,2023-10-18 00:00:00,2023-10-18 00:00:00,2023-10-19 00:00:00,"Atualmente considerado um dos artistas mais requisitados de Chicago, McCraven é reconhecido por sua abordagem inventiva e estilo cinematográfico intuitivo, desafiando categorizações convencionais. Sua destreza como verdadeiro inovador transcende gêneros musicais, expandindo os limites do jazz, da música eletrônica, da composição e do ritmo para criar uma linguagem musical singular.",Ingresso - R$ 60.00 / R$ 30.00 / R$ 18.00,,,0,0,noite
71000004327007,10,1,shows e espetáculos,1,Música,71,Bertioga,interior,0,outros,,Francis Bringell,,uma,thisW,agora,qua,2,21h,undefined,undefined,2023-10-18 00:00:00,2023-09-27 00:00:00,2023-10-18 00:00:00,"Neste show, Francis relembra histórias com amigos e canta canções consagradas da música popular como Força Estranha, Sozinho, Emoções, Meu primeiro amor, Garçon e muito mais. Conta ""causos"" que fazem o público rapidamente interagir com ele e envolve de maneira surpreendente a todos em suas interpretações.",,,,0,0,noite
78000006853192,750,1,shows e espetáculos,1,Música,78,Santos,interior,1,outros,,Odair Jose,e homenagem a Pedro Bandeira,uma,thisW,agora,qua,2,20h,undefined,undefined,2023-10-18 00:00:00,2023-10-18 00:00:00,2023-10-18 00:00:00,parceria com Tarrafa Literária,Ingresso - Grátis / Grátis / Grátis,,,0,0,noite
80000005157669,10,1,shows e espetáculos,1,Música,80,Bauru,interior,0,outros,,Brazilian Blues Bash,"Show ""10 anos""",uma,thisW,agora,qua,2,20h,undefined,undefined,2023-10-18 00:00:00,2023-10-18 00:00:00,2023-10-18 00:00:00,"Em junho de 2012, Giba Byblos, Ivan Marcio, Mauricio Sahady e Fabio Basili foram a Chicago para ter blues no café da manhã, almoço e jantar. Acabaram trazendo de volta um CD, gravado ao vivo na Delmark House. Uma década se passou e muita água, ou melhor, blues rolou. As carreiras individuais se consolidaram e os quatro amigos resolveram comemorar em grande estilo.",Aberto ao público,,,0,0,noite
84000005482373,2300,1,shows e espetáculos,1,Música,84,Rio Preto,interior,0,outros,,Ana Cañas,Canta Belchior,uma,thisW,agora,qua,2,21h,undefined,undefined,2023-10-18 00:00:00,2023-10-18 00:00:00,2023-10-18 00:00:00,"A cantora e compositora Ana Cañas apresenta nesse show, vencedor de Melhor Show do Ano de 2022 pela APCA - Associação Paulista dos Críticos de Arte. O projeto, iniciado durante a pandemia de Covid-19, nasceu com a ideia de  uma live única e transformou-se em álbum, DVD e uma turnê integralmente  dedicados à obra do compositor cearense.",Ingresso - R$ 30.00 / R$ 15.00 / R$ 10.00,,,0,0,noite
57000007290682,200,1,shows e espetáculos,2,Teatro,57,Ipiranga,capital,0,outros,,Aqui Tem Vida Demais!,Com Casca Coletivo de Criação,uma,thisW,agora,qua,2,10h,undefined,undefined,2023-10-18 00:00:00,2023-10-08 00:00:00,2023-11-02 00:00:00,"Duas crianças,os irmãos Mário e Maria se deparam com a perda do cachorro de estimação Manoel e passam por diversas situações a fim de superarem a dor desta perda.Não há ali nenhum adulto, são obrigadas a lidar com tudo sozinhas. A Morte surge como personagem que percorre as cenas ora divertindo,ora assustando, trazendo consigo reflexões acerca dos estigmas que o Ocidente criou a respeito dela.",Ingresso - R$ 25.00 / R$ 12.50 / R$ 8.00,1,Tradução em Libras,1,0,manhã
57000007290682,200,1,shows e espetáculos,2,Teatro,57,Ipiranga,capital,0,outros,,Aqui Tem Vida Demais!,Com Casca Coletivo de Criação,uma,thisW,agora,qua,2,15h,undefined,undefined,2023-10-18 00:00:00,2023-10-08 00:00:00,2023-11-02 00:00:00,"Duas crianças,os irmãos Mário e Maria se deparam com a perda do cachorro de estimação Manoel e passam por diversas situações a fim de superarem a dor desta perda.Não há ali nenhum adulto, são obrigadas a lidar com tudo sozinhas. A Morte surge como personagem que percorre as cenas ora divertindo,ora assustando, trazendo consigo reflexões acerca dos estigmas que o Ocidente criou a respeito dela.",Ingresso - R$ 25.00 / R$ 12.50 / R$ 8.00,1,Tradução em Libras,1,0,tarde
63000013452228,50,1,shows e espetáculos,2,Teatro,63,Pompeia,capital,0,outros,,Conforto,de Ana Flávia Cavalcanti,uma,thisW,agora,qua,2,20h30,undefined,undefined,2023-10-18 00:00:00,2023-10-17 00:00:00,2023-11-10 00:00:00,"Comfort é um espetáculo criado pela multiartista Ana Flavia Cavalcanti. Esse trabalho nasceu da performance homônima em que Ana Flavia costura memórias de quando acompanhava sua mãe, Val Cavalcanti, nas casas de família onde ela fazia faxina.",Ingresso - R$ 30.00 / R$ 15.00 / R$ 10.00,,,0,0,noite
65000003505504,80,1,shows e espetáculos,2,Teatro,65,Av. Paulista,capital,0,outros,,Guará Vermelha,Com Cia do Tijolo,uma,thisW,agora,qua,2,15h,undefined,undefined,2023-10-18 00:00:00,2023-09-29 00:00:00,2023-10-29 00:00:00,"Guará Vermelha conta a história de Rosálio e Irene. Ele, um analfabeto que tem por desejo ser contador de histórias e ela, uma prostituta que sonhava em ser professora. Através desse encontro e das histórias contadas por Rosálio, outros personagens e figuras de expressão se deflagram. Adaptação da Cia do Tijolo para o romance ""O Voo da Guará vermelha"", história escrita por Maria Valéria Rezende.",Ingresso - R$ 40.00 / R$ 20.00 / R$ 12.00,1,Audiodescrição  Tradução em Libras,0,0,tarde
84000005578258,236,1,shows e espetáculos,2,Teatro,84,Rio Preto,interior,1,idosos,Encontro da Longevidade Ativa,Convite para um Café,"Com Roberto Borenstein, ator.",uma,thisW,agora,qua,2,13h,undefined,undefined,2023-10-18 00:00:00,2023-10-18 00:00:00,2023-10-18 00:00:00,"Convite para um Café"" é uma comédia dramática sobre pessoas querendo se apaixonar. O personagem Sérgio vive a maior paixão de sua vida. Sérgio, assim como a maioria das pessoas, quer se apaixonar e encontra na idílica Vânia sua princesa encantada, mas quanto mais a quer, mais ela se afasta.",Aberto ao público - Retirada de ingressos com 30 minutos de antecedência.,,,0,0,tarde
