id,lugares,cod_formato,formato,cod_categoria,categoria,cod_uo,unidade,regiao,gratis,ingresso,publico,projeto,nome,complemento,exibirdatas,tempo,tempoF,dia_da_semana,weekday,hora,destaque,data_sessao,datainicial,datafinal,tem,dispositivo,online,turno
49000000002795,4000,4,exposições,6,Artes Visuais,49,14 Bis,capital,1,0,outros,Constelação Celestina,Constelação Celestina,Fotógrafo: Wagner Celestino. Curadoria: Claudinei Roberto da Silva.,de-ate,sempre,proxima,sempre,7,10h30,dcelestina,2023-10-06 00:00:00,2023-10-06 00:00:00,2024-04-07 00:00:00,,,0,manhã
49000000005746,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,0,outros,,Negra Opera - Martinho da Vila,,uma,nextW,proxima,dom,6,18h,dmartinho,2023-10-08 00:00:00,2023-10-06 00:00:00,2023-10-08 00:00:00,,,0,noite
49000000005746,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,0,outros,,Negra Opera - Martinho da Vila,,uma,nextW,proxima,sáb,5,19h30,dmartinho,2023-10-07 00:00:00,2023-10-06 00:00:00,2023-10-08 00:00:00,,,0,noite
49000000005746,513,1,shows e espetáculos,1,Música,49,14 Bis,capital,0,0,outros,,Negra Opera - Martinho da Vila,,uma,nextW,proxima,sex,4,19h30,dmartinho,2023-10-06 00:00:00,2023-10-06 00:00:00,2023-10-08 00:00:00,,,0,noite
49000000006119,300,1,shows e espetáculos,3,Circo,49,14 Bis,capital,1,0,outros,,Caminho da Saracura,Com Trupe Baião de 2.,uma,nextW,proxima,sáb,5,10h,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-07 00:00:00,,,0,manhã
49000000006119,300,1,shows e espetáculos,3,Circo,49,14 Bis,capital,1,0,outros,,Caminho da Saracura,Com Trupe Baião de 2.,uma,nextW,proxima,sáb,5,16h30,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-07 00:00:00,,,0,tarde
49000000006125,300,2,cursos e oficinas,10,Saúde,49,14 Bis,capital,1,0,outros,,Repentistas dão boas-vindas!,Com a dupla de repentistas Peneira e Sonhador,uma,nextW,proxima,sáb,5,12h30,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-07 00:00:00,,,0,tarde
49000000006149,150,6,atividade física,14,'+ lazer,49,14 Bis,capital,0,0,outros,,Recreações Esportivas de Multimodalidades,com educadores da unidade,de-ate,sempre,proxima,sempre,7,13h,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-11-26 00:00:00,,,0,tarde
49000000006155,40,1,shows e espetáculos,8,Educação,49,14 Bis,capital,1,0,outros,,"Contos de África, histórias da mala de Ébano","Com Mariana Per, cantora e narradora de histórias",uma,nextW,proxima,sáb,5,14h30,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-28 00:00:00,,,0,tarde
49000000006171,100,1,shows e espetáculos,11,Atividade Física,49,14 Bis,capital,0,0,outros,,Apresentação Esportiva de Boxe,com Adriana Araujo,uma,nextW,proxima,sáb,5,15h30,undefined,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-07 00:00:00,,,0,tarde
